std,peak,rms,p2p,zcr,speed,label
0.130198,4.947650,0.130293,0.995707,59,0.24706,mat
0.082149,4.080015,0.082167,0.518532,58,0.24706,mat
0.113151,5.366273,0.113184,0.988373,52,0.24706,mat
0.130939,4.638481,0.130943,1.035430,48,0.24706,mat
0.111465,4.630125,0.111586,0.944711,47,0.24706,mat
0.114618,3.636607,0.114645,0.819895,58,0.24706,mat
0.171580,5.833077,0.172097,1.420772,60,0.24706,mat
0.203929,5.384954,0.204622,1.583908,49,0.24706,mat
0.171428,6.425340,0.171490,1.583908,58,0.24706,mat
0.128802,3.723939,0.128924,0.905086,58,0.24706,mat
0.197928,4.937934,0.198066,1.581392,50,0.30882,mat
0.226524,6.538334,0.226986,2.175937,48,0.30882,mat
0.256026,5.796522,0.256034,2.175937,55,0.30882,mat
0.287902,5.143442,0.288502,2.423939,60,0.30882,mat
0.332292,4.462644,0.332515,2.423939,53,0.30882,mat
0.248449,5.667899,0.248473,2.204690,44,0.30882,mat
0.156022,4.406146,0.156349,1.150870,44,0.30882,mat
0.194679,5.685980,0.196180,1.670817,51,0.30882,mat
0.205506,5.406846,0.206308,1.670817,52,0.30882,mat
0.209703,5.018868,0.209955,1.597296,56,0.30882,mat
0.236282,5.584993,0.236820,2.048372,52,0.30882,mat
0.262276,5.038276,0.262518,2.186096,59,0.30882,mat
0.245237,4.966767,0.245277,2.081695,60,0.30882,mat
0.210213,4.970260,0.210682,1.737325,46,0.30882,mat
0.192857,5.426767,0.192960,1.737325,58,0.30882,mat
0.205105,4.381753,0.205730,1.798119,62,0.30882,mat
0.258079,4.128006,0.258084,1.966828,49,0.30882,mat
0.244935,4.211711,0.245035,1.888749,51,0.36029,mat
0.249399,4.087047,0.249400,1.922184,51,0.36029,mat
0.264186,3.852917,0.264555,1.996226,55,0.36029,mat
0.350112,4.385577,0.350886,2.688080,58,0.36029,mat
0.314963,4.882972,0.315143,2.688080,56,0.36029,mat
0.196171,4.750496,0.196193,1.680401,65,0.36029,mat
0.252344,4.556863,0.252425,2.082277,61,0.36029,mat
0.246730,4.661962,0.246734,2.068848,57,0.36029,mat
0.252146,4.585958,0.253143,1.915366,59,0.36029,mat
0.287393,5.215891,0.288975,2.535091,55,0.36029,mat
0.274886,5.476004,0.275249,2.535091,58,0.36029,mat
0.239997,5.098229,0.239998,1.955790,60,0.36029,mat
0.231828,5.277215,0.231858,1.917877,46,0.36029,mat
0.318372,3.880842,0.318384,2.457016,38,0.36029,mat
0.325932,3.767710,0.327944,2.457016,49,0.36029,mat
0.305804,4.925815,0.309037,2.579230,56,0.36029,mat
0.300989,5.056012,0.301079,2.579230,59,0.36029,mat
0.358276,4.353520,0.359775,1.981077,48,0.41176,mat
0.338229,5.461388,0.338261,2.282627,50,0.41176,mat
0.393091,4.689863,0.393908,2.897093,64,0.41176,mat
0.332001,5.402944,0.343306,2.614520,68,0.41176,mat
0.343689,5.333596,0.347770,2.614520,59,0.41176,mat
0.304811,5.588922,0.309885,2.205689,60,0.41176,mat
0.406281,3.295629,0.406362,2.358267,61,0.41176,mat
0.439614,3.038546,0.441472,2.360482,67,0.41176,mat
0.412614,3.506097,0.418297,2.808024,69,0.41176,mat
0.378512,3.708822,0.395433,1.931361,58,0.41176,mat
0.313393,3.413806,0.327871,1.541423,53,0.41176,mat
0.335489,3.637000,0.346770,2.466086,57,0.41176,mat
0.393055,3.414546,0.396856,2.559964,58,0.41176,mat
0.425541,3.390770,0.432656,2.822119,61,0.41176,mat
0.329340,4.376770,0.335187,1.999610,63,0.41176,mat
0.192374,4.536110,0.193079,1.396267,59,0.41176,mat
0.348426,3.432687,0.350849,2.260151,55,0.41176,mat
0.464973,4.898983,0.467184,3.588614,57,0.46324,mat
0.532908,4.284723,0.534160,3.588614,54,0.46324,mat
0.567585,4.414824,0.568112,3.988431,62,0.46324,mat
0.459067,5.463469,0.459070,3.988431,58,0.46324,mat
0.321005,5.505317,0.321406,2.790501,57,0.46324,mat
0.429651,4.103511,0.431202,2.790501,66,0.46324,mat
0.458024,3.674162,0.458305,2.836231,60,0.46324,mat
0.386282,4.248004,0.386758,2.864254,54,0.46324,mat
0.311093,4.075705,0.311661,2.491542,50,0.46324,mat
0.423447,4.417847,0.423469,3.209804,50,0.46324,mat
0.482336,3.874703,0.482830,3.209804,47,0.46324,mat
0.470460,5.640472,0.470477,3.848362,53,0.46324,mat
0.452007,5.868493,0.452196,3.797614,60,0.46324,mat
0.448093,5.018297,0.457605,3.440300,58,0.46324,mat
0.466016,4.794282,0.478987,3.538416,59,0.46324,mat
0.421548,3.596733,0.421910,2.759516,56,0.46324,mat
0.478745,5.066746,0.479589,3.516356,52,0.46324,mat
0.144173,4.730023,0.144280,0.963913,42,0.20588,carpet
0.113396,5.971345,0.114287,1.195204,54,0.20588,carpet
0.105959,4.731772,0.108364,0.749511,58,0.20588,carpet
0.092989,4.324792,0.095359,0.649162,48,0.20588,carpet
0.066048,3.983068,0.068370,0.415140,53,0.20588,carpet
0.062055,3.591458,0.064579,0.374751,52,0.20588,carpet
0.065931,4.264037,0.067029,0.381919,55,0.20588,carpet
0.120440,5.498204,0.120565,0.967401,64,0.20588,carpet
0.147624,5.412207,0.148632,1.109480,62,0.20588,carpet
0.117803,6.786641,0.118531,1.109480,56,0.20588,carpet
0.092738,3.391201,0.093811,0.521633,47,0.20588,carpet
0.142621,4.812479,0.144869,1.222334,45,0.20588,carpet
0.163113,4.503825,0.163848,1.263097,48,0.20588,carpet
0.139004,5.308112,0.139021,1.099399,47,0.20588,carpet
0.114912,6.282749,0.115070,1.041992,48,0.20588,carpet
0.101884,3.210301,0.102261,0.570181,51,0.20588,carpet
0.100252,3.707932,0.100280,0.668988,56,0.20588,carpet
0.159238,5.738765,0.160003,1.382903,58,0.26765,carpet
0.187454,5.288693,0.187513,1.673778,54,0.26765,carpet
0.187492,5.284326,0.187668,1.673778,60,0.26765,carpet
0.186453,6.374042,0.186803,1.730403,63,0.26765,carpet
0.226756,5.245819,0.226979,1.799087,55,0.26765,carpet
0.172370,4.863373,0.172427,1.446974,61,0.26765,carpet
0.116482,4.538384,0.116549,0.925901,60,0.26765,carpet
0.149943,3.526081,0.150010,0.984157,49,0.26765,carpet
0.177130,3.620662,0.177206,1.171384,51,0.26765,carpet
0.175194,3.662219,0.175195,1.192484,55,0.26765,carpet
0.156885,4.725718,0.156886,1.250044,57,0.26765,carpet
0.150164,4.937164,0.150167,1.250044,65,0.26765,carpet
0.137334,5.062822,0.137336,1.212118,57,0.26765,carpet
0.129976,5.020878,0.130159,1.208390,47,0.26765,carpet
0.151974,3.616969,0.153409,1.059150,54,0.26765,carpet
0.184536,3.630839,0.185089,1.195713,56,0.26765,carpet
0.241624,4.649199,0.241986,1.597993,57,0.26765,carpet
0.279949,5.324935,0.280017,2.690638,52,0.31912,carpet
0.247432,4.845571,0.247559,2.280559,53,0.31912,carpet
0.248424,5.195148,0.248440,1.948827,52,0.31912,carpet
0.253074,5.099185,0.253116,2.058491,57,0.31912,carpet
0.234940,6.134089,0.235146,2.210212,57,0.31912,carpet
0.221615,6.508598,0.221615,2.095036,58,0.31912,carpet
0.191923,3.689180,0.192187,1.223249,61,0.31912,carpet
