std,rms,p2p,zcr,speed,pwm,label
0.14035389210031787,0.14059211168520638,1.3647226632071838,57.0,0.20579103431319906,140,tile
0.0984548172964978,0.09845752022851272,0.7935538924952859,55.0,0.20579103431319906,140,tile
0.10459838799175661,0.10460822235919921,0.8387314367841192,53.0,0.20579103431319906,140,tile
0.11977788020538957,0.1197780801569956,0.9164822716603087,59.0,0.20579103431319906,140,tile
0.1537227973661913,0.15386343699065916,1.215901904566758,57.0,0.20579103431319906,140,tile
0.18066701762975218,0.18080581765209983,1.4089661053294122,59.0,0.20579103431319906,140,tile
0.16375770881667967,0.16380381562945345,1.4089661053294122,61.0,0.20579103431319906,140,tile
0.152930798136962,0.15300076970983642,1.088216636336318,59.0,0.20579103431319906,140,tile
0.1347358300505822,0.13483006781006787,1.015319472148354,59.0,0.20579103431319906,140,tile
0.12959601578951574,0.12963360328760756,1.3114360105315548,55.0,0.20579103431319906,140,tile
0.1293626475719834,0.1293628110532407,1.3479700722151389,57.0,0.20579103431319906,140,tile
0.13284847674766023,0.13285826751578977,1.267200503369164,55.0,0.20579103431319906,140,tile
0.16139053255816863,0.1616527047832841,1.3091354338112708,48.0,0.20579103431319906,140,tile
0.15350909554970443,0.15351085990379662,1.3707418692897555,54.0,0.20579103431319906,140,tile
0.15395204530082202,0.15395861534807181,1.38006717361222,61.0,0.20579103431319906,140,tile
0.14482412707893805,0.14482787824065496,1.3295542185033948,56.0,0.20579103431319906,140,tile
0.1471553208230156,0.14731337523552201,1.223405361357278,52.0,0.20579103431319906,140,tile
0.1732994909727654,0.17411422513307345,1.5273693901757976,45.0,0.2572526166767967,175,tile
0.1719695362755235,0.17291405246460842,1.591149620287604,47.0,0.2572526166767967,175,tile
0.18881673311988123,0.1899163419414163,1.3928064273741985,57.0,0.2572526166767967,175,tile
0.21764381749060407,0.21776729428184732,1.3928064273741985,56.0,0.2572526166767967,175,tile
0.21423226594563133,0.21423666943057496,1.529901386781999,50.0,0.2572526166767967,175,tile
0.187777163827314,0.18784012378016074,1.529901386781999,51.0,0.2572526166767967,175,tile
0.16929490758305574,0.16946279004094672,1.4626145231974608,48.0,0.2572526166767967,175,tile
0.18211970155158638,0.18212094451638675,1.7178015265048536,54.0,0.2572526166767967,175,tile
0.17092234344128812,0.1711671196984164,1.8094023391738467,56.0,0.2572526166767967,175,tile
0.18288874781315204,0.18292420171164211,1.7783463962383905,52.0,0.2572526166767967,175,tile
0.20603015148459153,0.20624907181054014,1.8889486354852156,54.0,0.2572526166767967,175,tile
0.20912916557412808,0.2092589966544941,1.8988558783389102,55.0,0.2572526166767967,175,tile
0.20741211856896793,0.20763359639107867,1.7845455253096603,49.0,0.2572526166767967,175,tile
0.1880274338829492,0.18835714791348643,1.770484373832474,49.0,0.2572526166767967,175,tile
0.20462607422381748,0.2046399794061182,1.8341636776761998,59.0,0.2572526166767967,175,tile
0.2154383508622093,0.21582329214692694,1.731162082867261,53.0,0.2572526166767967,175,tile
0.19971540735175586,0.19971746259135065,1.7699025082401505,48.0,0.2572526166767967,175,tile
0.2340177333166703,0.23405600527495868,1.753001253285424,50.0,0.30870041602214654,210,tile
0.20559177722831723,0.20578098572022813,1.4482437696374273,50.0,0.30870041602214654,210,tile
0.22381413228188543,0.2238938313992559,1.7715063814766552,46.0,0.30870041602214654,210,tile
0.25566613943510924,0.25570592851473156,1.826241663936031,51.0,0.30870041602214654,210,tile
0.2569869988865837,0.25726608023979675,1.904696356888783,65.0,0.30870041602214654,210,tile
0.2485360686064978,0.2498463719928853,2.526985168366963,61.0,0.30870041602214654,210,tile
0.23850570231930524,0.23905093235289648,2.2916329371529915,57.0,0.30870041602214654,210,tile
0.27943279625729744,0.28000037568518843,2.4840386346490178,57.0,0.30870041602214654,210,tile
1.1176535868170174,1.1204904034782814,12.283499322837612,59.0,0.30870041602214654,210,tile
1.2325873322095084,1.2390379723837033,12.324432770531743,56.0,0.30870041602214654,210,tile
0.594851129846196,0.5959819569887971,6.945708487233896,46.0,0.30870041602214654,210,tile
0.4693616938915307,0.473269809995646,5.244339139941141,44.0,0.30870041602214654,210,tile
0.4896004966271748,0.49775737256999925,4.502214119175601,41.0,0.30870041602214654,210,tile
0.35831526177463335,0.3642243035424082,2.9080154576728603,48.0,0.30870041602214654,210,tile
0.33457539436038103,0.33739406108688347,2.8672636282626467,54.0,0.30870041602214654,210,tile
0.2342492298489329,0.2348740404580456,2.6149143373102124,52.0,0.30870041602214654,210,tile
0.22293108913100151,0.22498660300598136,2.2282381742861403,48.0,0.30870041602214654,210,tile
0.23147304389856058,0.23156572695953614,1.9981591033564978,57.0,0.34544438309578546,235,tile
0.3527609411675341,0.35319875024426567,2.606708793246872,57.0,0.34544438309578546,235,tile
0.7051427007964841,0.7052301514081285,8.718984017275119,54.0,0.34544438309578546,235,tile
0.7042004872954851,0.7042337983363153,8.718984017275119,49.0,0.34544438309578546,235,tile
0.5442240618704107,0.5476711155321645,5.368380285964067,58.0,0.34544438309578546,235,tile
0.5121498568471634,0.5161535786847361,5.270879912911255,57.0,0.34544438309578546,235,tile
0.3198698891714131,0.3198945579308963,2.776509893395856,56.0,0.34544438309578546,235,tile
0.39776185550672943,0.39782388761310483,3.6940332392686734,51.0,0.34544438309578546,235,tile
0.3960206335521859,0.3967913083938767,3.6940332392686734,46.0,0.34544438309578546,235,tile
0.287215751597881,0.28722257407540003,2.508844423287721,47.0,0.34544438309578546,235,tile
0.25594122267013736,0.25594148184447313,1.7676271500058185,51.0,0.34544438309578546,235,tile
0.2374679428493997,0.2382430461448307,1.7676271500058185,55.0,0.34544438309578546,235,tile
0.28655853334475717,0.2865914453633022,2.978677698287962,55.0,0.34544438309578546,235,tile
0.33262233215780473,0.33269585264386614,3.391623352475314,47.0,0.34544438309578546,235,tile
0.2574077644235306,0.2575575469672528,2.4352698207370747,49.0,0.34544438309578546,235,tile
0.9376469201243376,0.9412133045543172,10.062867140135843,59.0,0.34544438309578546,235,tile
1.0053762949655332,1.0062416803298144,12.561174269817753,65.0,0.34544438309578546,235,tile
0.454624337430181,0.45627736681690034,4.30440703331254,50.0,0.37485372338899503,255,tile
